,H(Y|T),I(Y;T),H(T|Y),H(Y),log(I(Y;T)/log(H(Y|T)))
label_gran_1,0.7374227839243295,0.2167292190523793,4.534078283706009,0.9541520029767088,
label_gran_2,1.48603345259715,0.39255977526719144,4.358247727491199,1.8785932278643414,-0.009004287109132359
label_gran_3,2.1662858500795146,0.506782728569128,4.244024774189262,2.6730685786486426,-0.42221493515511854
label_gran_4,2.9734086556190302,0.6500754990967397,4.100732003661648,3.62348415471577,-0.516577449517769
label_gran_5,3.7659987329950235,0.8004352153893839,3.9503722873690066,4.566433948384407,-0.5047764463796248
label_gran_6,4.166822885046236,1.0106199973894192,3.7401875053689695,5.177442882435655,-0.34511814309990696
label_gran_7,4.55159713849467,1.244020015933362,3.506787486825025,5.795617154428032,-0.1973829424966665
label_gran_8,5.0566957756569595,1.4849468747237244,3.2658606280346625,6.541642650380684,-0.08748734004113126
label_gran_9,5.313389851476258,1.681737324678413,3.0690701780799756,6.995127176154671,0.006866026436411475
label_gran_10,5.606386769704518,1.893085868999477,2.85772163375891,7.499472638703995,0.09361532947423758
label_gran_11,5.791854606789083,2.1059948302798936,2.644812672478495,7.8978494370689765,0.18149177920267268
label_gran_12,5.9549336655780705,2.279728056988053,2.471079445770336,8.234661722566123,0.24507478209210332
label_gran_13,6.193133956704535,2.5095377836812043,2.2412697190771844,8.702671740385739,0.31937307264059844
label_gran_14,6.248721627499935,2.5944049414659665,2.1564025612924222,8.843126568965902,0.3477432023809504
class,0.0,4.750807502758389,0.0,4.750807502758389,-inf
instance_id,7.995496864942916,4.750807502758389,0.0,12.746304367701304,0.8264860427470729
